date,open,high,low,close,volume,wap,barCount
20250401 09:30:00 US/Eastern,263.82,268.12,261.63,263.92,4255880.0,265.355,17295
20250401 09:35:00 US/Eastern,264.05,264.05,259.25,262.39,3492955.0,261.153,16789
20250401 09:40:00 US/Eastern,262.38,265.74,261.7,264.75,2735543.0,263.837,11707
20250401 09:45:00 US/Eastern,264.75,266.47,264.03,265.23,1952600.0,265.219,9210
20250401 09:50:00 US/Eastern,265.23,265.82,262.8,263.27,1587266.0,264.233,7436
20250401 09:55:00 US/Eastern,263.29,264.9,262.16,263.82,1619363.0,263.472,6790
20250401 10:00:00 US/Eastern,263.74,264.77,261.09,262.05,1936058.0,262.766,8683
20250401 10:05:00 US/Eastern,262.05,263.45,261.5,263.22,1318057.0,262.482,6301
20250401 10:10:00 US/Eastern,263.29,263.72,261.23,261.73,1386857.0,262.107,6459
20250401 10:15:00 US/Eastern,261.82,263.58,261.55,262.56,1243004.0,262.651,5750
20250401 10:20:00 US/Eastern,262.5,265.56,261.72,265.38,1995103.0,263.913,8495
20250401 10:25:00 US/Eastern,265.43,266.51,264.61,265.99,1783459.0,265.552,7950
20250401 10:30:00 US/Eastern,265.89,267.4,265.7,266.73,1838275.0,266.741,8859
20250401 10:35:00 US/Eastern,266.79,270.2,266.52,269.36,2352638.0,268.665,10349
20250401 10:40:00 US/Eastern,269.27,270.54,268.34,269.89,1847538.0,269.532,8525
20250401 10:45:00 US/Eastern,269.89,271.18,269.71,270.32,1949633.0,270.561,9759
20250401 10:50:00 US/Eastern,270.3,272.44,270.0,272.35,2044803.0,271.434,10258
20250401 10:55:00 US/Eastern,272.39,272.84,270.27,272.65,2076518.0,271.652,9696
20250401 11:00:00 US/Eastern,272.65,272.67,271.03,272.15,1470851.0,271.96,7498
20250401 11:05:00 US/Eastern,272.16,272.58,271.3,272.2,1060296.0,272.029,5207
20250401 11:10:00 US/Eastern,272.22,274.12,271.66,273.76,1827607.0,273.026,8565
20250401 11:15:00 US/Eastern,273.78,274.64,273.12,273.37,1584263.0,274.043,8219
20250401 11:20:00 US/Eastern,273.32,274.77,272.64,274.53,1627846.0,273.829,7871
20250401 11:25:00 US/Eastern,274.53,274.83,273.9,274.17,1090780.0,274.279,5719
20250401 11:30:00 US/Eastern,274.19,274.38,273.42,274.36,1330634.0,273.929,6465
20250401 11:35:00 US/Eastern,274.34,274.83,272.65,272.99,1469809.0,273.671,7083
20250401 11:40:00 US/Eastern,272.94,274.11,272.53,274.06,1101703.0,273.282,5285
20250401 11:45:00 US/Eastern,274.04,274.64,273.67,274.56,1037547.0,274.211,4707
20250401 11:50:00 US/Eastern,274.57,276.32,274.43,275.4,1870869.0,275.603,8872
20250401 11:55:00 US/Eastern,275.44,275.69,274.86,275.31,872896.0,275.257,4224
20250401 12:00:00 US/Eastern,275.34,275.88,274.67,275.4,1098398.0,275.209,5271
20250401 12:05:00 US/Eastern,275.33,277.22,275.21,277.18,1469542.0,276.276,7506
20250401 12:10:00 US/Eastern,277.19,277.45,276.31,276.37,1180440.0,276.852,5914
20250401 12:15:00 US/Eastern,276.37,277.2,276.16,276.78,1026883.0,276.746,4646
20250401 12:20:00 US/Eastern,276.83,277.33,275.11,275.85,1301546.0,276.123,6100
20250401 12:25:00 US/Eastern,275.81,275.87,273.17,273.73,1594897.0,274.16,7829
20250401 12:30:00 US/Eastern,273.79,274.6,273.03,273.5,1320093.0,273.783,6119
20250401 12:35:00 US/Eastern,273.52,273.96,271.42,271.89,1670197.0,272.507,7320
20250401 12:40:00 US/Eastern,271.84,272.93,271.0,271.26,1366511.0,271.905,5961
20250401 12:45:00 US/Eastern,271.26,273.34,271.0,273.2,1213298.0,272.293,5507
20250401 12:50:00 US/Eastern,273.26,275.5,273.1,274.81,1732961.0,274.528,7566
20250401 12:55:00 US/Eastern,274.81,275.45,274.41,274.52,1061578.0,274.852,5138
20250401 13:00:00 US/Eastern,274.56,275.17,274.11,274.74,785592.0,274.693,3712
20250401 13:05:00 US/Eastern,274.79,275.07,273.61,274.33,1056563.0,274.265,4825
20250401 13:10:00 US/Eastern,274.29,275.15,273.7,275.01,885506.0,274.629,4357
20250401 13:15:00 US/Eastern,274.98,275.01,274.08,274.17,626002.0,274.532,2996
20250401 13:20:00 US/Eastern,274.2,274.67,273.72,274.06,704515.0,274.186,3506
20250401 13:25:00 US/Eastern,274.01,274.9,273.11,273.34,793459.0,274.144,3939
20250401 13:30:00 US/Eastern,273.3,274.33,272.92,273.4,971952.0,273.61,4636
20250401 13:35:00 US/Eastern,273.4,274.52,273.15,274.25,704800.0,273.813,3295
20250401 13:40:00 US/Eastern,274.25,275.48,273.85,274.23,1222104.0,274.703,5466
20250401 13:45:00 US/Eastern,274.18,275.42,274.15,275.35,881801.0,275.044,4141
20250401 13:50:00 US/Eastern,275.34,275.91,274.88,274.95,1059720.0,275.438,4680
20250401 13:55:00 US/Eastern,274.95,275.42,274.52,274.67,797194.0,274.942,3528
20250401 14:00:00 US/Eastern,274.71,275.14,272.6,273.13,1179502.0,273.641,5265
20250401 14:05:00 US/Eastern,273.18,273.74,272.05,272.24,1116107.0,272.802,5043
20250401 14:10:00 US/Eastern,272.26,273.29,271.8,272.94,990988.0,272.55,4536
20250401 14:15:00 US/Eastern,272.91,272.93,270.75,271.4,1143539.0,271.5,5109
20250401 14:20:00 US/Eastern,271.4,271.77,269.24,269.38,1240949.0,270.515,5767
20250401 14:25:00 US/Eastern,269.37,270.58,269.17,269.85,1380687.0,269.76,6388
20250401 14:30:00 US/Eastern,269.8,270.69,269.41,270.01,1054214.0,270.138,4658
20250401 14:35:00 US/Eastern,269.95,270.48,269.41,269.69,803388.0,269.956,3461
20250401 14:40:00 US/Eastern,269.62,270.1,268.76,269.85,1122048.0,269.451,4860
20250401 14:45:00 US/Eastern,269.89,269.98,268.15,268.18,929215.0,268.886,4022
20250401 14:50:00 US/Eastern,268.18,268.95,267.09,268.34,1320768.0,268.165,5846
20250401 14:55:00 US/Eastern,268.34,269.93,268.3,269.24,1155439.0,269.319,4820
20250401 15:00:00 US/Eastern,269.26,269.62,268.8,269.25,776120.0,269.211,3881
20250401 15:05:00 US/Eastern,269.21,270.22,268.81,268.89,1019276.0,269.561,4807
20250401 15:10:00 US/Eastern,268.82,269.8,268.46,269.25,732068.0,269.178,3643
20250401 15:15:00 US/Eastern,269.25,270.4,269.03,269.57,966258.0,269.626,4405
20250401 15:20:00 US/Eastern,269.57,270.38,269.24,270.25,858941.0,269.919,4054
20250401 15:25:00 US/Eastern,270.2,271.08,268.91,269.05,1353557.0,270.291,6304
20250401 15:30:00 US/Eastern,269.08,270.06,268.36,268.93,1339809.0,269.263,6729
20250401 15:35:00 US/Eastern,268.93,269.95,268.82,269.48,888395.0,269.367,4849
20250401 15:40:00 US/Eastern,269.5,270.14,269.21,269.98,877143.0,269.737,4738
20250401 15:45:00 US/Eastern,269.98,270.88,269.75,270.67,1202819.0,270.447,6576
20250401 15:50:00 US/Eastern,270.69,271.06,269.31,270.69,1545557.0,270.181,8777
20250401 15:55:00 US/Eastern,270.73,270.84,268.2,268.48,2461053.0,268.858,14494
20250402 09:30:00 US/Eastern,254.55,254.99,251.27,254.4,4762564.0,253.259,20841
20250402 09:35:00 US/Eastern,254.38,258.49,253.89,255.63,4051342.0,256.462,19658
20250402 09:40:00 US/Eastern,255.59,259.23,255.25,258.77,2802022.0,256.874,14276
20250402 09:45:00 US/Eastern,258.8,262.14,258.14,261.8,3086364.0,260.05,14768
20250402 09:50:00 US/Eastern,261.64,263.15,260.8,262.03,2637409.0,262.049,13154
20250402 09:55:00 US/Eastern,262.01,263.66,261.2,261.84,2023969.0,262.189,10051
20250402 10:00:00 US/Eastern,261.84,266.49,261.35,265.39,3050940.0,264.932,13298
20250402 10:05:00 US/Eastern,265.31,266.38,262.52,262.95,2428235.0,264.389,10831
20250402 10:10:00 US/Eastern,262.95,263.8,260.85,261.93,2364680.0,262.332,10984
20250402 10:15:00 US/Eastern,261.91,263.97,261.5,263.0,1463675.0,262.837,6763
20250402 10:20:00 US/Eastern,262.98,265.03,262.81,264.43,1495900.0,264.072,7184
20250402 10:25:00 US/Eastern,264.45,264.56,261.4,263.02,1628491.0,262.648,7660
20250402 10:30:00 US/Eastern,263.0,263.75,261.52,261.79,1339972.0,262.539,6097
20250402 10:35:00 US/Eastern,261.89,262.35,260.13,261.83,1964345.0,260.946,9051
20250402 10:40:00 US/Eastern,261.77,262.75,260.83,261.64,1262889.0,261.819,5891
20250402 10:45:00 US/Eastern,261.66,263.98,261.65,263.45,1545989.0,262.971,7233
20250402 10:50:00 US/Eastern,263.49,264.6,262.94,263.27,1273680.0,263.759,6120
20250402 10:55:00 US/Eastern,263.2,265.25,262.97,264.92,1588533.0,264.403,6998
20250402 11:00:00 US/Eastern,264.9,266.15,263.74,266.06,1500294.0,265.062,6570
20250402 11:05:00 US/Eastern,266.04,267.1,265.33,266.84,1635444.0,266.07,7278
20250402 11:10:00 US/Eastern,266.85,266.92,265.23,265.74,1387712.0,266.07,7039
20250402 11:15:00 US/Eastern,265.74,268.97,265.53,268.89,2118455.0,267.371,9678
20250402 11:20:00 US/Eastern,268.89,275.83,268.56,273.45,6101696.0,272.652,29393
20250402 11:25:00 US/Eastern,273.56,276.99,273.11,275.52,3785446.0,275.397,18663
20250402 11:30:00 US/Eastern,275.5,276.94,273.55,276.83,2579496.0,275.04,13057
20250402 11:35:00 US/Eastern,276.83,281.61,276.42,279.85,4989303.0,279.328,23298
20250402 11:40:00 US/Eastern,279.84,280.3,278.17,278.55,2631319.0,279.035,12978
20250402 11:45:00 US/Eastern,278.57,279.3,275.71,276.52,2871739.0,276.943,13168
20250402 11:50:00 US/Eastern,276.53,277.49,274.58,277.05,2402605.0,276.136,11377
20250402 11:55:00 US/Eastern,276.94,279.21,276.8,278.44,1834777.0,278.087,9131
20250402 12:00:00 US/Eastern,278.4,278.95,277.38,278.24,1382976.0,278.282,6984
20250402 12:05:00 US/Eastern,278.27,279.91,277.96,279.88,1778975.0,279.159,8525
20250402 12:10:00 US/Eastern,279.81,282.64,279.33,281.25,3097041.0,281.364,13612
20250402 12:15:00 US/Eastern,281.3,283.67,281.1,283.61,2144320.0,282.417,10700
20250402 12:20:00 US/Eastern,283.61,284.39,282.64,283.19,2057857.0,283.486,9820
20250402 12:25:00 US/Eastern,283.19,283.37,281.4,283.21,1750972.0,282.428,7880
20250402 12:30:00 US/Eastern,283.21,284.12,282.08,282.92,1646390.0,283.117,7551
20250402 12:35:00 US/Eastern,282.9,282.96,281.28,282.18,1747741.0,281.989,8453
20250402 12:40:00 US/Eastern,282.21,282.59,281.01,282.44,1240281.0,281.695,6315
20250402 12:45:00 US/Eastern,282.46,283.31,281.55,282.86,1227288.0,282.418,5817
20250402 12:50:00 US/Eastern,282.86,283.24,276.78,279.19,3473279.0,279.303,17259
20250402 12:55:00 US/Eastern,279.19,282.46,276.23,280.98,3531358.0,279.324,16758
20250402 13:00:00 US/Eastern,280.95,281.71,278.84,280.57,1759528.0,280.369,8657
20250402 13:05:00 US/Eastern,280.57,281.37,279.38,280.72,1192038.0,280.457,6220
