date,open,high,low,close,volume,wap,barCount
20240701 09:30:00 US/Eastern,201.02,203.78,200.85,203.7,4394732.0,202.742,14601
20240701 09:35:00 US/Eastern,203.67,205.36,203.39,204.99,3871528.0,204.641,15038
20240701 09:40:00 US/Eastern,204.99,206.0,203.98,205.84,3243878.0,205.258,13148
20240701 09:45:00 US/Eastern,205.84,207.55,204.92,205.02,4028841.0,206.281,14883
20240701 09:50:00 US/Eastern,205.03,206.67,204.24,206.09,2347266.0,205.512,8517
20240701 09:55:00 US/Eastern,206.11,207.05,205.84,206.25,2096633.0,206.532,6923
20240701 10:00:00 US/Eastern,206.25,208.82,206.24,208.12,2986124.0,208.027,10532
20240701 10:05:00 US/Eastern,208.14,209.0,207.16,208.98,2423155.0,208.215,8222
20240701 10:10:00 US/Eastern,208.95,209.05,207.66,207.76,2244977.0,208.388,7344
20240701 10:15:00 US/Eastern,207.79,208.75,206.89,208.67,2105316.0,207.859,7767
20240701 10:20:00 US/Eastern,208.67,209.97,208.64,208.87,2661128.0,209.248,9872
20240701 10:25:00 US/Eastern,208.85,210.0,208.76,209.8,1835391.0,209.59,6539
20240701 10:30:00 US/Eastern,209.77,211.48,209.31,210.79,2918345.0,210.678,9914
20240701 10:35:00 US/Eastern,210.77,211.55,209.43,209.51,2230788.0,210.649,7711
20240701 10:40:00 US/Eastern,209.49,210.42,208.83,210.16,1973862.0,209.624,6902
20240701 10:45:00 US/Eastern,210.16,210.28,208.63,208.7,1390924.0,209.252,5136
20240701 10:50:00 US/Eastern,208.72,209.84,207.78,207.8,1736126.0,208.752,6515
20240701 10:55:00 US/Eastern,207.81,208.99,207.65,208.03,1337078.0,208.24,5359
20240701 11:00:00 US/Eastern,208.0,209.4,207.94,208.58,1264805.0,208.551,4357
20240701 11:05:00 US/Eastern,208.65,209.64,208.5,209.37,1197494.0,209.055,4209
20240701 11:10:00 US/Eastern,209.37,210.7,209.3,210.64,1724260.0,209.923,5626
20240701 11:15:00 US/Eastern,210.63,210.63,209.75,210.0,1074907.0,210.194,3715
20240701 11:20:00 US/Eastern,209.99,210.15,208.78,209.47,1043034.0,209.399,3685
20240701 11:25:00 US/Eastern,209.47,210.94,209.44,210.36,1463984.0,210.402,4884
20240701 11:30:00 US/Eastern,210.36,211.0,209.75,210.88,1132082.0,210.305,3999
20240701 11:35:00 US/Eastern,210.85,211.34,210.55,210.88,1256131.0,210.924,4499
20240701 11:40:00 US/Eastern,210.91,211.09,209.93,210.07,946089.0,210.629,3179
20240701 11:45:00 US/Eastern,210.04,210.25,209.82,210.01,723382.0,210.022,2705
20240701 11:50:00 US/Eastern,210.01,210.33,209.27,209.71,998039.0,209.727,3447
20240701 11:55:00 US/Eastern,209.71,210.9,209.57,210.88,1020126.0,210.303,3429
20240701 12:00:00 US/Eastern,210.86,211.15,210.5,210.62,1030264.0,210.902,3477
20240701 12:05:00 US/Eastern,210.62,211.01,210.47,210.98,679036.0,210.767,2582
20240701 12:10:00 US/Eastern,210.98,210.98,209.95,210.06,726191.0,210.459,2859
20240701 12:15:00 US/Eastern,210.09,210.42,209.82,209.96,726309.0,210.064,2777
20240701 12:20:00 US/Eastern,209.98,210.2,209.72,210.09,623045.0,210.001,2313
20240701 12:25:00 US/Eastern,210.06,210.58,209.94,210.23,823508.0,210.208,2725
20240701 12:30:00 US/Eastern,210.25,210.47,209.87,210.36,673265.0,210.177,2445
20240701 12:35:00 US/Eastern,210.36,210.85,209.91,210.02,1012507.0,210.24,3208
20240701 12:40:00 US/Eastern,210.02,210.2,209.6,209.68,744277.0,209.952,2612
20240701 12:45:00 US/Eastern,209.68,210.1,209.4,209.81,729618.0,209.766,2298
20240701 12:50:00 US/Eastern,209.83,210.24,209.41,209.78,645946.0,209.883,2148
20240701 12:55:00 US/Eastern,209.78,209.88,209.42,209.64,539978.0,209.685,1764
20240701 13:00:00 US/Eastern,209.66,209.84,208.98,209.31,731612.0,209.282,2472
20240701 13:05:00 US/Eastern,209.29,209.69,209.2,209.6,542971.0,209.454,1868
20240701 13:10:00 US/Eastern,209.63,210.05,209.5,209.9,593456.0,209.817,2093
20240701 13:15:00 US/Eastern,209.92,210.12,209.8,209.88,443272.0,209.949,1690
20240701 13:20:00 US/Eastern,209.86,209.96,209.05,209.35,543043.0,209.465,2006
20240701 13:25:00 US/Eastern,209.39,210.13,209.37,209.78,612876.0,209.805,1884
20240701 13:30:00 US/Eastern,209.77,209.8,209.15,209.39,480688.0,209.44,1616
20240701 13:35:00 US/Eastern,209.39,209.75,209.1,209.49,569662.0,209.443,2050
20240701 13:40:00 US/Eastern,209.46,209.6,209.08,209.12,462157.0,209.299,1574
20240701 13:45:00 US/Eastern,209.12,209.41,208.97,209.32,652097.0,209.18,2300
20240701 13:50:00 US/Eastern,209.32,210.59,209.29,210.48,1149939.0,210.047,3666
20240701 13:55:00 US/Eastern,210.47,210.89,210.41,210.78,987324.0,210.709,3608
20240701 14:00:00 US/Eastern,210.78,212.27,210.73,211.89,1810422.0,211.61,6846
20240701 14:05:00 US/Eastern,211.89,212.67,211.79,212.48,1710946.0,212.302,6076
20240701 14:10:00 US/Eastern,212.48,213.19,212.3,213.01,1717355.0,212.809,5817
20240701 14:15:00 US/Eastern,213.02,213.23,212.72,213.18,1171626.0,213.005,3817
20240701 14:20:00 US/Eastern,213.18,213.21,212.52,212.59,1047310.0,212.888,3338
20240701 14:25:00 US/Eastern,212.62,212.7,212.04,212.18,1050523.0,212.324,3435
20240701 14:30:00 US/Eastern,212.17,212.84,212.03,212.81,925918.0,212.38,2898
20240701 14:35:00 US/Eastern,212.81,212.87,211.91,212.09,1067136.0,212.314,3271
20240701 14:40:00 US/Eastern,212.09,212.43,211.85,212.03,731099.0,212.123,2418
20240701 14:45:00 US/Eastern,211.99,212.07,211.53,211.77,759196.0,211.777,2719
