date,open,high,low,close,volume,wap,barCount
20240501 09:30:00 US/Eastern,182.0,184.11,180.62,180.63,2859625.0,182.359,8615
20240501 09:35:00 US/Eastern,180.62,183.5,180.42,181.97,1946442.0,182.388,7169
20240501 09:40:00 US/Eastern,181.94,182.93,181.35,181.85,1502845.0,182.215,4882
20240501 09:45:00 US/Eastern,181.92,182.58,181.4,182.32,1254038.0,181.991,4777
20240501 09:50:00 US/Eastern,182.31,183.3,182.16,182.66,1403198.0,182.823,5128
20240501 09:55:00 US/Eastern,182.73,183.85,182.4,182.79,1475649.0,183.28,5125
20240501 10:00:00 US/Eastern,182.79,183.17,181.56,181.59,1265151.0,182.13,4510
20240501 10:05:00 US/Eastern,181.62,181.95,180.92,181.16,1155578.0,181.471,4343
20240501 10:10:00 US/Eastern,181.23,181.23,179.63,179.74,1864173.0,180.185,6209
20240501 10:15:00 US/Eastern,179.73,180.67,179.56,180.44,1390201.0,180.178,4839
20240501 10:20:00 US/Eastern,180.48,180.79,179.83,180.16,1139149.0,180.301,3927
20240501 10:25:00 US/Eastern,180.16,180.95,179.72,180.45,990558.0,180.33,3191
20240501 10:30:00 US/Eastern,180.43,180.76,180.12,180.67,745847.0,180.498,2435
20240501 10:35:00 US/Eastern,180.66,180.71,179.41,179.92,1107509.0,179.925,3757
20240501 10:40:00 US/Eastern,179.91,180.5,179.45,180.43,944256.0,179.958,3226
20240501 10:45:00 US/Eastern,180.44,182.06,180.41,181.64,1626671.0,181.286,5291
20240501 10:50:00 US/Eastern,181.67,182.22,181.5,181.65,1025470.0,181.86,3459
20240501 10:55:00 US/Eastern,181.62,181.79,180.79,180.86,864609.0,181.236,3056
20240501 11:00:00 US/Eastern,180.89,181.15,180.63,180.86,701520.0,180.862,2680
20240501 11:05:00 US/Eastern,180.86,181.94,180.11,180.17,1198710.0,181.097,4007
20240501 11:10:00 US/Eastern,180.21,180.33,179.81,179.83,933544.0,180.04,3198
20240501 11:15:00 US/Eastern,179.86,180.41,179.21,179.26,1010132.0,179.754,3387
20240501 11:20:00 US/Eastern,179.23,179.79,179.01,179.74,906926.0,179.333,3111
20240501 11:25:00 US/Eastern,179.72,180.58,179.42,180.5,1101298.0,179.949,4160
20240501 11:30:00 US/Eastern,180.5,180.74,180.03,180.07,745126.0,180.427,2795
20240501 11:35:00 US/Eastern,180.08,180.46,179.86,180.32,705854.0,180.136,2486
20240501 11:40:00 US/Eastern,180.32,180.45,180.02,180.23,406488.0,180.247,1742
20240501 11:45:00 US/Eastern,180.22,180.73,179.72,179.82,762667.0,180.147,2797
20240501 11:50:00 US/Eastern,179.82,180.04,179.36,179.86,561722.0,179.695,2111
20240501 11:55:00 US/Eastern,179.87,180.37,179.85,180.0,479017.0,180.136,1836
20240501 12:00:00 US/Eastern,179.99,181.34,179.71,181.15,942885.0,180.571,3102
20240501 12:05:00 US/Eastern,181.15,181.24,180.75,181.16,543250.0,180.982,1796
20240501 12:10:00 US/Eastern,181.18,181.44,180.83,181.33,565842.0,181.148,1809
20240501 12:15:00 US/Eastern,181.37,181.63,181.1,181.21,592956.0,181.385,1877
20240501 12:20:00 US/Eastern,181.2,181.45,180.9,181.17,444214.0,181.202,1560
20240501 12:25:00 US/Eastern,181.15,181.59,181.07,181.37,499988.0,181.355,1636
20240501 12:30:00 US/Eastern,181.33,181.76,181.01,181.73,462789.0,181.361,1515
20240501 12:35:00 US/Eastern,181.74,182.88,181.69,182.37,1146733.0,182.354,3709
20240501 12:40:00 US/Eastern,182.34,182.5,181.75,181.81,608337.0,182.11,1941
20240501 12:45:00 US/Eastern,181.83,181.93,181.47,181.5,518369.0,181.706,1805
20240501 12:50:00 US/Eastern,181.49,181.65,181.2,181.36,449835.0,181.388,1524
20240501 12:55:00 US/Eastern,181.35,181.6,181.06,181.22,497605.0,181.347,1633
20240501 13:00:00 US/Eastern,181.22,181.25,180.61,180.91,616511.0,180.874,1939
20240501 13:05:00 US/Eastern,180.92,181.05,180.69,180.89,416776.0,180.856,1291
20240501 13:10:00 US/Eastern,180.89,181.15,180.37,180.39,563295.0,180.827,1985
20240501 13:15:00 US/Eastern,180.39,180.49,180.03,180.08,527026.0,180.255,1621
20240501 13:20:00 US/Eastern,180.08,180.46,179.92,180.02,528736.0,180.174,1788
20240501 13:25:00 US/Eastern,180.0,180.05,179.82,179.99,403829.0,179.946,1263
20240501 13:30:00 US/Eastern,180.0,180.83,179.86,180.8,635808.0,180.244,2080
20240501 13:35:00 US/Eastern,180.81,181.1,180.3,180.31,507558.0,180.715,1798
20240501 13:40:00 US/Eastern,180.32,180.38,180.03,180.36,487011.0,180.207,1834
20240501 13:45:00 US/Eastern,180.38,180.65,180.08,180.61,499529.0,180.382,1639
20240501 13:50:00 US/Eastern,180.61,181.17,180.35,181.14,512160.0,180.706,1586
20240501 13:55:00 US/Eastern,181.13,181.17,180.81,180.98,312887.0,180.995,1242
20240501 14:00:00 US/Eastern,181.01,181.76,180.5,181.71,1053845.0,181.146,3613
20240501 14:05:00 US/Eastern,181.67,181.9,180.92,181.04,699504.0,181.334,2137
20240501 14:10:00 US/Eastern,181.02,181.34,180.68,180.95,500930.0,181.034,1766
20240501 14:15:00 US/Eastern,180.99,181.33,180.59,181.13,526986.0,180.936,1842
20240501 14:20:00 US/Eastern,181.11,181.54,180.93,181.4,468187.0,181.242,1622
20240501 14:25:00 US/Eastern,181.44,182.48,181.28,182.3,889166.0,182.023,3022
20240501 14:30:00 US/Eastern,182.35,182.79,180.75,182.56,1272326.0,181.839,4048
20240501 14:35:00 US/Eastern,182.61,183.82,181.04,183.67,1487439.0,182.62,4842
20240501 14:40:00 US/Eastern,183.65,185.17,183.3,185.09,1908951.0,184.361,5922
20240501 14:45:00 US/Eastern,185.09,185.43,184.03,185.2,1373709.0,184.841,4269
20240501 14:50:00 US/Eastern,185.2,185.57,184.7,185.37,1005129.0,185.233,3160
20240501 14:55:00 US/Eastern,185.4,185.5,184.57,185.1,773838.0,185.02,2793
20240501 15:00:00 US/Eastern,185.1,185.86,184.63,184.68,1066341.0,185.289,3696
20240501 15:05:00 US/Eastern,184.68,185.14,184.1,184.94,897109.0,184.699,3111
20240501 15:10:00 US/Eastern,184.94,185.36,184.52,185.25,781037.0,185.003,2651
20240501 15:15:00 US/Eastern,185.32,185.46,184.71,184.86,648838.0,185.054,2341
20240501 15:20:00 US/Eastern,184.85,184.95,183.76,184.82,1054744.0,184.333,3655
20240501 15:25:00 US/Eastern,184.78,184.94,183.75,183.8,643950.0,184.431,2443
20240501 15:30:00 US/Eastern,183.8,183.82,182.94,183.04,1061840.0,183.403,3996
20240501 15:35:00 US/Eastern,183.04,183.32,182.14,182.36,1076452.0,182.718,4087
20240501 15:40:00 US/Eastern,182.38,182.79,181.67,181.97,933283.0,182.112,3771
20240501 15:45:00 US/Eastern,181.96,182.49,181.45,182.0,1076863.0,181.936,3865
20240501 15:50:00 US/Eastern,181.99,181.99,180.5,180.74,1289051.0,181.15,5537
20240501 15:55:00 US/Eastern,180.73,181.4,179.98,180.0,2227948.0,180.652,9487
20240502 09:30:00 US/Eastern,182.85,184.6,182.28,183.01,2483840.0,183.695,7707
20240502 09:35:00 US/Eastern,183.02,183.83,181.4,181.67,1812580.0,182.614,6384
20240502 09:40:00 US/Eastern,181.68,181.77,180.6,180.83,1618326.0,181.13,5471
20240502 09:45:00 US/Eastern,180.83,181.2,180.01,180.09,1550102.0,180.611,5302
20240502 09:50:00 US/Eastern,180.19,180.57,179.4,179.54,1832813.0,179.955,5766
20240502 09:55:00 US/Eastern,179.48,179.97,178.35,178.36,2149537.0,179.264,6912
20240502 10:00:00 US/Eastern,178.36,178.46,177.18,178.42,2532223.0,177.878,8695
20240502 10:05:00 US/Eastern,178.45,178.46,176.62,176.87,1911291.0,177.536,6224
20240502 10:10:00 US/Eastern,176.87,177.56,176.4,177.48,1758778.0,176.932,6180
20240502 10:15:00 US/Eastern,177.5,177.9,176.27,176.4,1647855.0,177.144,5476
20240502 10:20:00 US/Eastern,176.4,177.53,176.02,177.49,1648908.0,176.677,5080
20240502 10:25:00 US/Eastern,177.5,178.2,177.38,177.93,1297255.0,177.753,4133
20240502 10:30:00 US/Eastern,177.94,178.26,177.45,177.93,1149121.0,177.913,3654
20240502 10:35:00 US/Eastern,177.92,178.4,177.82,178.31,986102.0,178.158,3050
20240502 10:40:00 US/Eastern,178.31,178.35,177.21,177.92,1343261.0,177.723,3889
20240502 10:45:00 US/Eastern,177.9,178.86,177.73,178.47,1405473.0,178.338,4004
20240502 10:50:00 US/Eastern,178.46,178.92,178.27,178.85,902101.0,178.561,2734
20240502 10:55:00 US/Eastern,178.83,179.75,178.82,179.56,1360268.0,179.284,4672
20240502 11:00:00 US/Eastern,179.6,179.81,179.1,179.44,989080.0,179.443,2928
20240502 11:05:00 US/Eastern,179.47,179.49,178.69,179.01,896333.0,179.001,2664
20240502 11:10:00 US/Eastern,179.02,179.6,178.4,179.58,1042126.0,179.001,2971
20240502 11:15:00 US/Eastern,179.56,179.92,179.1,179.16,897338.0,179.541,2718
20240502 11:20:00 US/Eastern,179.19,179.92,178.84,179.78,967679.0,179.294,2699
20240502 11:25:00 US/Eastern,179.8,179.96,178.93,179.95,1082937.0,179.527,3060
20240502 11:30:00 US/Eastern,179.96,180.14,179.06,179.49,1384272.0,179.672,3950
20240502 11:35:00 US/Eastern,179.5,179.86,178.61,178.76,1066016.0,179.216,2986
20240502 11:40:00 US/Eastern,178.76,179.49,178.74,179.43,666621.0,179.119,1969
20240502 11:45:00 US/Eastern,179.44,179.98,179.28,179.97,910118.0,179.694,2562
20240502 11:50:00 US/Eastern,179.98,180.34,179.92,180.01,928903.0,180.094,2483
20240502 11:55:00 US/Eastern,180.02,180.44,179.93,180.14,761520.0,180.215,2177
20240502 12:00:00 US/Eastern,180.12,180.37,179.62,180.01,1040735.0,180.08,2705
20240502 12:05:00 US/Eastern,180.03,180.07,179.73,179.91,472910.0,179.914,1533
20240502 12:10:00 US/Eastern,179.91,180.07,179.16,179.26,720843.0,179.532,2025
20240502 12:15:00 US/Eastern,179.27,179.6,179.07,179.07,534820.0,179.351,1487
20240502 12:20:00 US/Eastern,179.09,179.52,178.93,179.42,650455.0,179.243,1889
20240502 12:25:00 US/Eastern,179.42,179.86,179.24,179.75,684183.0,179.608,1745
20240502 12:30:00 US/Eastern,179.75,179.8,178.7,179.02,858428.0,179.035,2142
20240502 12:35:00 US/Eastern,179.01,179.42,178.41,179.3,935741.0,178.893,2369
20240502 12:40:00 US/Eastern,179.3,179.64,179.21,179.63,622037.0,179.436,1650
20240502 12:45:00 US/Eastern,179.61,179.78,179.2,179.65,715215.0,179.534,1732
20240502 12:50:00 US/Eastern,179.64,179.8,179.5,179.71,486012.0,179.657,1324
20240502 12:55:00 US/Eastern,179.68,179.8,179.23,179.78,686331.0,179.442,1617
20240502 13:00:00 US/Eastern,179.8,180.28,179.79,180.23,826521.0,180.103,2254
20240502 13:05:00 US/Eastern,180.23,180.36,180.01,180.17,590348.0,180.191,1653
20240502 13:10:00 US/Eastern,180.17,180.25,179.88,179.94,551884.0,180.053,1562
20240502 13:15:00 US/Eastern,179.95,180.14,179.72,179.97,454673.0,179.965,1382
20240502 13:20:00 US/Eastern,179.93,180.33,179.86,180.07,587623.0,180.12,1479
20240502 13:25:00 US/Eastern,180.06,180.56,179.96,180.4,626025.0,180.272,1613
20240502 13:30:00 US/Eastern,180.38,180.47,179.85,179.9,639322.0,180.168,1768
20240502 13:35:00 US/Eastern,179.9,180.0,179.58,179.93,578200.0,179.798,1579
20240502 13:40:00 US/Eastern,179.93,180.1,179.8,179.99,398633.0,179.944,1130
20240502 13:45:00 US/Eastern,179.97,180.18,179.86,180.02,427790.0,180.031,1278
20240502 13:50:00 US/Eastern,180.02,180.46,179.64,180.28,707282.0,180.111,1896
20240502 13:55:00 US/Eastern,180.29,180.66,180.16,180.47,541259.0,180.465,1586
20240502 14:00:00 US/Eastern,180.47,180.51,180.01,180.39,625220.0,180.238,1678
20240502 14:05:00 US/Eastern,180.36,180.82,180.27,180.64,579354.0,180.592,1774
20240502 14:10:00 US/Eastern,180.62,180.88,180.46,180.83,481691.0,180.699,1493
20240502 14:15:00 US/Eastern,180.83,180.84,180.46,180.58,397059.0,180.66,1286
20240502 14:20:00 US/Eastern,180.6,180.73,180.27,180.41,407418.0,180.496,1225
20240502 14:25:00 US/Eastern,180.43,181.23,180.42,180.84,761882.0,180.916,2220
20240502 14:30:00 US/Eastern,180.87,181.12,180.84,181.0,521728.0,180.992,1573
20240502 14:35:00 US/Eastern,181.0,181.18,180.77,180.95,477587.0,180.958,1325
20240502 14:40:00 US/Eastern,180.95,181.22,180.8,181.19,519497.0,181.027,1574
20240502 14:45:00 US/Eastern,181.19,181.66,181.12,181.39,843364.0,181.456,2439
20240502 14:50:00 US/Eastern,181.41,181.75,181.11,181.32,713207.0,181.39,2116
20240502 14:55:00 US/Eastern,181.3,181.57,181.22,181.48,440168.0,181.432,1342
