date,open,high,low,close,volume,wap,barCount
20240301 09:30:00 US/Eastern,200.52,201.46,199.78,199.94,2303733.0,200.469,7938
20240301 09:35:00 US/Eastern,199.95,200.17,198.75,198.95,1874800.0,199.524,7552
20240301 09:40:00 US/Eastern,198.92,199.44,198.5,199.26,1935603.0,198.917,7823
20240301 09:45:00 US/Eastern,199.26,200.01,198.88,199.95,1820718.0,199.44,6542
20240301 09:50:00 US/Eastern,199.95,200.33,199.27,199.8,1738986.0,199.805,5795
20240301 09:55:00 US/Eastern,199.83,200.8,199.72,199.91,1437340.0,200.135,4869
20240301 10:00:00 US/Eastern,199.95,200.72,199.47,199.73,1362642.0,200.028,4794
20240301 10:05:00 US/Eastern,199.78,200.34,199.58,199.78,1035700.0,200.04,3365
20240301 10:10:00 US/Eastern,199.8,200.18,199.52,199.6,1017108.0,199.773,3414
20240301 10:15:00 US/Eastern,199.62,200.66,199.57,199.74,1479856.0,200.065,4751
20240301 10:20:00 US/Eastern,199.73,200.16,199.55,199.97,966141.0,199.925,3259
20240301 10:25:00 US/Eastern,199.97,200.1,199.5,199.56,912819.0,199.785,3124
20240301 10:30:00 US/Eastern,199.56,199.73,199.02,199.31,1110276.0,199.324,3915
20240301 10:35:00 US/Eastern,199.31,199.71,198.94,198.98,1091907.0,199.274,3434
20240301 10:40:00 US/Eastern,198.99,199.69,198.94,199.52,780517.0,199.464,2700
20240301 10:45:00 US/Eastern,199.51,199.93,199.4,199.6,742903.0,199.689,2842
20240301 10:50:00 US/Eastern,199.62,199.65,199.2,199.25,508016.0,199.442,1799
20240301 10:55:00 US/Eastern,199.25,199.66,199.09,199.2,745231.0,199.355,2599
20240301 11:00:00 US/Eastern,199.2,199.9,199.08,199.77,639976.0,199.557,2405
20240301 11:05:00 US/Eastern,199.78,200.08,199.63,199.9,755887.0,199.909,2424
20240301 11:10:00 US/Eastern,199.9,200.14,199.77,199.94,588956.0,199.99,1966
20240301 11:15:00 US/Eastern,199.94,200.44,199.68,200.3,811162.0,200.066,2763
20240301 11:20:00 US/Eastern,200.34,200.75,200.31,200.69,948474.0,200.534,3298
20240301 11:25:00 US/Eastern,200.7,200.99,200.57,200.86,908954.0,200.813,3248
20240301 11:30:00 US/Eastern,200.87,201.12,200.67,200.82,994308.0,200.912,3778
20240301 11:35:00 US/Eastern,200.82,200.93,200.52,200.77,648976.0,200.754,2562
20240301 11:40:00 US/Eastern,200.79,200.99,200.61,200.78,555336.0,200.826,2259
20240301 11:45:00 US/Eastern,200.75,200.91,200.71,200.84,388846.0,200.818,1742
20240301 11:50:00 US/Eastern,200.85,200.96,200.54,200.86,581659.0,200.791,2503
20240301 11:55:00 US/Eastern,200.86,200.89,200.6,200.67,420269.0,200.715,1655
20240301 12:00:00 US/Eastern,200.68,200.97,200.55,200.85,527715.0,200.802,2179
20240301 12:05:00 US/Eastern,200.84,201.56,200.72,201.54,1035034.0,201.183,3804
20240301 12:10:00 US/Eastern,201.54,202.13,201.53,202.03,1181418.0,201.843,4197
20240301 12:15:00 US/Eastern,202.05,202.15,201.72,201.98,710768.0,201.934,2696
20240301 12:20:00 US/Eastern,201.97,202.45,201.97,202.29,995653.0,202.277,3526
