date,open,high,low,close,volume,wap,barCount
20240801 09:30:00 US/Eastern,227.51,230.4,226.77,229.24,2264472.0,228.421,8294
20240801 09:35:00 US/Eastern,229.21,229.37,226.42,227.08,1887671.0,227.318,7989
20240801 09:40:00 US/Eastern,227.06,229.11,226.89,228.58,1288961.0,228.079,4953
20240801 09:45:00 US/Eastern,228.59,229.65,228.08,228.2,1123237.0,229.002,4255
20240801 09:50:00 US/Eastern,228.22,228.87,227.58,228.0,955716.0,228.153,3491
20240801 09:55:00 US/Eastern,227.98,229.27,227.81,228.93,873029.0,228.842,3095
20240801 10:00:00 US/Eastern,228.93,231.87,228.33,230.77,1541767.0,230.422,5681
20240801 10:05:00 US/Eastern,230.74,231.07,228.69,229.0,1169873.0,229.691,4171
20240801 10:10:00 US/Eastern,229.06,229.3,228.41,228.68,1012896.0,228.845,3607
20240801 10:15:00 US/Eastern,228.72,228.73,227.48,227.84,1137195.0,227.97,4029
20240801 10:20:00 US/Eastern,227.89,228.08,226.89,227.44,1023203.0,227.337,3481
20240801 10:25:00 US/Eastern,227.44,227.67,226.63,226.77,827710.0,227.162,2735
20240801 10:30:00 US/Eastern,226.79,227.08,225.95,226.15,1131649.0,226.356,4005
20240801 10:35:00 US/Eastern,226.09,226.96,225.64,226.7,971846.0,226.168,3501
20240801 10:40:00 US/Eastern,226.66,227.09,226.43,226.72,684997.0,226.781,2301
20240801 10:45:00 US/Eastern,226.78,226.86,225.35,225.47,904930.0,225.986,3077
20240801 10:50:00 US/Eastern,225.49,226.44,225.12,225.21,760243.0,225.805,2606
20240801 10:55:00 US/Eastern,225.22,225.79,224.6,225.01,1070578.0,225.152,3911
20240801 11:00:00 US/Eastern,225.01,225.2,223.82,223.89,1113866.0,224.408,4184
20240801 11:05:00 US/Eastern,223.9,224.58,223.82,224.01,655734.0,224.212,2474
20240801 11:10:00 US/Eastern,224.03,224.72,223.94,224.53,559156.0,224.419,1963
20240801 11:15:00 US/Eastern,224.55,225.37,224.44,225.12,759186.0,224.89,2504
20240801 11:20:00 US/Eastern,225.14,225.42,224.56,225.13,524907.0,225.032,1877
20240801 11:25:00 US/Eastern,225.13,225.46,224.72,224.94,512542.0,225.126,1922
20240801 11:30:00 US/Eastern,224.91,225.26,224.5,224.72,474503.0,224.897,1653
20240801 11:35:00 US/Eastern,224.72,224.76,224.17,224.19,545138.0,224.366,1984
20240801 11:40:00 US/Eastern,224.2,224.22,222.6,222.76,1189886.0,223.251,4292
20240801 11:45:00 US/Eastern,222.8,223.17,222.65,223.05,529332.0,222.932,1703
20240801 11:50:00 US/Eastern,223.03,223.35,222.3,222.82,737385.0,222.897,3072
20240801 11:55:00 US/Eastern,222.81,223.36,222.57,222.62,477164.0,223.032,1925
20240801 12:00:00 US/Eastern,222.61,223.35,222.4,223.24,477998.0,222.892,1945
20240801 12:05:00 US/Eastern,223.24,223.87,222.95,223.4,492140.0,223.422,1923
20240801 12:10:00 US/Eastern,223.38,223.94,223.32,223.74,329369.0,223.655,1417
20240801 12:15:00 US/Eastern,223.76,223.98,222.95,223.12,333773.0,223.576,1474
20240801 12:20:00 US/Eastern,223.16,223.25,222.27,222.42,545320.0,222.616,2363
20240801 12:25:00 US/Eastern,222.44,222.6,221.97,222.29,742459.0,222.216,3069
20240801 12:30:00 US/Eastern,222.28,222.29,221.89,221.9,482173.0,222.035,1807
20240801 12:35:00 US/Eastern,221.92,222.38,221.74,221.75,458560.0,221.997,1736
20240801 12:40:00 US/Eastern,221.78,221.96,221.39,221.47,679410.0,221.641,2822
20240801 12:45:00 US/Eastern,221.47,221.76,221.35,221.5,463995.0,221.53,1604
20240801 12:50:00 US/Eastern,221.5,221.58,220.94,221.46,687850.0,221.234,2964
20240801 12:55:00 US/Eastern,221.42,221.86,221.4,221.57,363829.0,221.628,1662
20240801 13:00:00 US/Eastern,221.56,221.8,221.17,221.48,280289.0,221.459,1149
20240801 13:05:00 US/Eastern,221.52,221.58,220.7,220.84,501220.0,220.99,2036
20240801 13:10:00 US/Eastern,220.85,220.95,220.47,220.57,561718.0,220.682,2149
20240801 13:15:00 US/Eastern,220.61,220.77,220.35,220.4,452150.0,220.529,1680
20240801 13:20:00 US/Eastern,220.38,220.59,219.74,220.21,865995.0,220.167,3053
20240801 13:25:00 US/Eastern,220.18,220.29,219.52,219.78,565821.0,219.915,2091
20240801 13:30:00 US/Eastern,219.82,220.0,219.25,219.34,553506.0,219.597,2026
20240801 13:35:00 US/Eastern,219.37,219.62,218.21,218.21,800503.0,218.977,3037
20240801 13:40:00 US/Eastern,218.22,218.65,217.62,218.18,997592.0,218.144,3612
20240801 13:45:00 US/Eastern,218.15,219.53,218.12,219.46,778034.0,218.914,2946
20240801 13:50:00 US/Eastern,219.46,220.47,219.28,220.06,650127.0,219.78,2567
20240801 13:55:00 US/Eastern,220.1,220.34,219.74,220.25,492481.0,220.055,2094
20240801 14:00:00 US/Eastern,220.25,220.59,219.6,219.77,571420.0,219.934,2047
20240801 14:05:00 US/Eastern,219.72,219.77,218.78,218.87,539659.0,219.334,2103
20240801 14:10:00 US/Eastern,218.89,219.0,218.12,218.73,703136.0,218.622,2586
20240801 14:15:00 US/Eastern,218.78,218.87,218.02,218.15,467623.0,218.536,1762
20240801 14:20:00 US/Eastern,218.2,218.71,217.92,218.02,545508.0,218.338,2229
20240801 14:25:00 US/Eastern,218.02,218.2,217.14,217.6,892597.0,217.64,3568
20240801 14:30:00 US/Eastern,217.6,218.12,216.92,217.0,759836.0,217.385,2853
20240801 14:35:00 US/Eastern,216.99,217.34,216.63,217.33,744680.0,216.972,2972
20240801 14:40:00 US/Eastern,217.33,217.74,216.3,216.37,670956.0,217.023,2867
20240801 14:45:00 US/Eastern,216.38,216.64,216.03,216.12,605472.0,216.338,2687
20240801 14:50:00 US/Eastern,216.14,216.28,215.01,215.02,1064833.0,215.645,3912
20240801 14:55:00 US/Eastern,215.04,215.59,214.9,215.16,1124732.0,215.208,4129
20240801 15:00:00 US/Eastern,215.14,215.52,214.33,215.01,913157.0,215.002,3475
20240801 15:05:00 US/Eastern,214.97,215.42,214.56,215.33,693025.0,214.923,2899
20240801 15:10:00 US/Eastern,215.34,216.05,215.09,215.56,797008.0,215.672,3486
20240801 15:15:00 US/Eastern,215.56,216.34,215.3,216.15,759098.0,215.831,3071
20240801 15:20:00 US/Eastern,216.15,216.5,215.66,216.4,760343.0,216.176,3389
20240801 15:25:00 US/Eastern,216.37,216.83,216.01,216.45,726689.0,216.428,2906
20240801 15:30:00 US/Eastern,216.45,216.99,216.3,216.54,623997.0,216.654,2785
20240801 15:35:00 US/Eastern,216.55,217.15,216.04,216.68,694279.0,216.568,3010
20240801 15:40:00 US/Eastern,216.65,216.73,215.52,215.61,808716.0,215.943,3550
20240801 15:45:00 US/Eastern,215.61,217.32,215.59,217.04,854296.0,216.465,3624
20240801 15:50:00 US/Eastern,217.06,217.49,215.92,216.33,1110949.0,216.666,5125
20240801 15:55:00 US/Eastern,216.36,217.47,216.3,216.76,1655477.0,216.97,8345
20240802 09:30:00 US/Eastern,214.83,215.03,212.44,213.43,2577691.0,213.75,8838
20240802 09:35:00 US/Eastern,213.46,215.25,213.44,214.94,1500574.0,214.098,6078
20240802 09:40:00 US/Eastern,215.07,216.13,213.83,214.07,1469379.0,214.97,5891
20240802 09:45:00 US/Eastern,214.06,215.15,213.07,214.99,1403082.0,213.919,6143
20240802 09:50:00 US/Eastern,214.95,215.8,213.85,214.78,1139991.0,214.929,4680
20240802 09:55:00 US/Eastern,214.73,214.98,213.15,213.93,979608.0,213.926,3974
20240802 10:00:00 US/Eastern,214.0,214.8,213.23,213.83,754310.0,214.123,2965
20240802 10:05:00 US/Eastern,213.84,214.3,211.6,211.77,1472117.0,212.583,4341
20240802 10:10:00 US/Eastern,211.7,211.7,210.44,210.94,1305223.0,210.863,4738
20240802 10:15:00 US/Eastern,210.94,212.5,210.75,211.37,998231.0,211.524,3493
20240802 10:20:00 US/Eastern,211.41,212.55,211.03,212.0,886372.0,211.794,3102
20240802 10:25:00 US/Eastern,212.04,213.47,211.99,213.23,708440.0,212.955,2571
20240802 10:30:00 US/Eastern,213.18,214.55,213.0,213.14,998518.0,213.778,3696
20240802 10:35:00 US/Eastern,213.14,213.44,211.16,211.17,980258.0,212.288,3879
20240802 10:40:00 US/Eastern,211.2,212.06,210.93,211.02,880247.0,211.317,3211
20240802 10:45:00 US/Eastern,211.01,212.49,210.74,212.39,962016.0,211.332,3547
20240802 10:50:00 US/Eastern,212.42,212.78,210.35,210.35,1056973.0,211.37,3708
20240802 10:55:00 US/Eastern,210.36,211.66,209.0,209.3,1576706.0,209.583,4991
20240802 11:00:00 US/Eastern,209.33,209.79,208.81,208.93,1060577.0,209.223,3381
20240802 11:05:00 US/Eastern,208.94,209.49,208.61,209.0,831675.0,209.051,3033
20240802 11:10:00 US/Eastern,209.04,209.43,208.11,208.11,1114858.0,208.802,4104
20240802 11:15:00 US/Eastern,208.12,208.92,207.7,208.3,1157701.0,208.362,3791
20240802 11:20:00 US/Eastern,208.22,208.32,207.2,208.08,1108200.0,207.724,3969
20240802 11:25:00 US/Eastern,208.05,209.2,208.0,208.94,881617.0,208.698,3190
20240802 11:30:00 US/Eastern,208.97,209.8,208.81,209.64,736962.0,209.334,3183
20240802 11:35:00 US/Eastern,209.65,211.12,209.53,210.23,996264.0,210.402,3651
20240802 11:40:00 US/Eastern,210.24,211.71,210.19,211.67,901806.0,211.031,2619
20240802 11:45:00 US/Eastern,211.65,211.93,210.42,210.64,740865.0,211.098,2643
20240802 11:50:00 US/Eastern,210.64,210.87,209.5,209.62,787297.0,210.211,2971
20240802 11:55:00 US/Eastern,209.64,210.93,209.62,210.12,612096.0,210.285,2251
20240802 12:00:00 US/Eastern,210.17,210.5,209.19,210.2,662951.0,209.741,2583
20240802 12:05:00 US/Eastern,210.15,210.6,209.73,209.89,440302.0,210.254,1740
20240802 12:10:00 US/Eastern,209.85,210.01,208.38,208.43,611439.0,208.966,2395
20240802 12:15:00 US/Eastern,208.47,208.77,208.03,208.66,616704.0,208.361,2150
