date,open,high,low,close,volume,wap,barCount
20260701 09:30:00 US/Eastern,421.47,425.19,419.33,423.43,1448859.0,422.583,9469
20260701 09:35:00 US/Eastern,423.43,424.42,419.24,419.36,808652.0,422.165,6606
20260701 09:40:00 US/Eastern,419.45,420.96,418.09,420.36,523198.0,419.743,4858
20260701 09:45:00 US/Eastern,420.36,423.35,420.0,423.24,636030.0,421.939,5640
20260701 09:50:00 US/Eastern,423.18,423.47,422.21,423.3,449644.0,422.873,4163
20260701 09:55:00 US/Eastern,423.29,424.5,422.52,422.68,456767.0,423.446,4191
20260701 10:00:00 US/Eastern,422.95,424.91,422.9,423.76,512629.0,424.003,5184
20260701 10:05:00 US/Eastern,423.8,427.64,423.32,426.68,1040493.0,426.043,8822
20260701 10:10:00 US/Eastern,426.64,427.61,425.78,426.31,562853.0,426.814,5016
20260701 10:15:00 US/Eastern,426.33,427.35,426.2,426.83,389095.0,426.928,3625
20260701 10:20:00 US/Eastern,426.86,427.45,425.93,426.3,514009.0,426.806,4162
20260701 10:25:00 US/Eastern,426.3,427.7,426.07,427.08,483473.0,427.133,4248
20260701 10:30:00 US/Eastern,427.08,427.42,424.0,425.89,525683.0,426.01,4440
20260701 10:35:00 US/Eastern,425.89,427.51,425.33,427.48,395537.0,426.333,3575
20260701 10:40:00 US/Eastern,427.44,427.93,426.27,427.23,443963.0,427.094,3765
20260701 10:45:00 US/Eastern,427.23,428.85,426.11,428.82,572094.0,427.475,5001
20260701 10:50:00 US/Eastern,428.78,428.99,427.19,427.34,403059.0,428.056,3616
20260701 10:55:00 US/Eastern,427.4,427.47,424.76,425.89,512255.0,425.883,4452
20260701 11:00:00 US/Eastern,425.86,427.96,425.78,427.86,380295.0,427.088,3304
20260701 11:05:00 US/Eastern,427.89,429.44,427.71,429.39,655383.0,428.867,5235
20260701 11:10:00 US/Eastern,429.4,430.54,429.0,430.29,675615.0,429.707,5838
20260701 11:15:00 US/Eastern,430.22,430.36,428.53,429.51,537876.0,429.386,5197
20260701 11:20:00 US/Eastern,429.57,432.06,429.52,432.0,711742.0,431.063,5850
20260701 11:25:00 US/Eastern,431.98,432.86,431.63,431.83,593092.0,432.273,5379
20260701 11:30:00 US/Eastern,431.9,432.13,430.75,431.34,471993.0,431.555,4307
20260701 11:35:00 US/Eastern,431.31,432.08,430.18,430.24,445443.0,431.217,3765
20260701 11:40:00 US/Eastern,430.21,430.87,429.71,430.53,358926.0,430.388,3124
20260701 11:45:00 US/Eastern,430.47,430.94,428.58,428.93,336587.0,429.836,2901
20260701 11:50:00 US/Eastern,428.95,429.45,428.75,428.82,237967.0,429.12,2291
20260701 11:55:00 US/Eastern,428.81,428.93,427.93,428.41,276127.0,428.409,2397
20260701 12:00:00 US/Eastern,428.41,428.69,427.3,427.36,291993.0,427.999,2771
20260701 12:05:00 US/Eastern,427.35,428.27,427.18,427.8,341220.0,427.786,2878
20260701 12:10:00 US/Eastern,427.85,428.27,427.5,428.15,199029.0,427.917,1822
20260701 12:15:00 US/Eastern,428.15,428.45,427.63,427.94,230829.0,428.089,2264
20260701 12:20:00 US/Eastern,427.95,428.29,427.21,428.06,220427.0,427.764,2075
20260701 12:25:00 US/Eastern,428.04,428.75,427.8,428.0,186751.0,428.168,1856
20260701 12:30:00 US/Eastern,427.99,428.4,427.4,427.56,182360.0,427.92,1778
20260701 12:35:00 US/Eastern,427.54,428.09,427.01,427.61,228903.0,427.6,2036
20260701 12:40:00 US/Eastern,427.61,427.92,427.12,427.5,139144.0,427.512,1320
20260701 12:45:00 US/Eastern,427.5,427.72,426.81,426.92,193643.0,427.271,1940
20260701 12:50:00 US/Eastern,426.96,427.28,425.69,426.16,282072.0,426.299,2474
20260701 12:55:00 US/Eastern,426.16,426.9,425.99,426.69,246634.0,426.53,2364
20260701 13:00:00 US/Eastern,426.65,427.08,425.83,426.09,238768.0,426.429,2226
20260701 13:05:00 US/Eastern,426.09,427.0,425.46,426.87,242620.0,426.05,2474
20260701 13:10:00 US/Eastern,426.94,427.67,426.43,427.43,242288.0,427.111,2170
20260701 13:15:00 US/Eastern,427.37,427.68,426.5,426.68,241989.0,427.013,2273
20260701 13:20:00 US/Eastern,426.74,427.25,426.6,427.2,142485.0,426.979,1378
20260701 13:25:00 US/Eastern,427.2,427.41,426.37,426.49,170715.0,426.995,1653
20260701 13:30:00 US/Eastern,426.49,426.8,425.2,425.25,304304.0,425.714,2567
20260701 13:35:00 US/Eastern,425.32,425.82,425.01,425.69,272923.0,425.346,2269
20260701 13:40:00 US/Eastern,425.73,426.19,425.64,425.77,209783.0,425.953,1791
20260701 13:45:00 US/Eastern,425.77,425.79,425.09,425.35,198918.0,425.443,1777
20260701 13:50:00 US/Eastern,425.39,426.34,425.39,426.07,214457.0,425.857,1657
20260701 13:55:00 US/Eastern,426.07,426.17,424.89,424.95,265203.0,425.422,2058
20260701 14:00:00 US/Eastern,424.97,425.38,424.77,425.14,202415.0,425.087,1833
20260701 14:05:00 US/Eastern,425.15,425.45,424.53,425.45,249758.0,424.878,2368
20260701 14:10:00 US/Eastern,425.45,425.53,424.63,424.67,172321.0,424.935,1758
20260701 14:15:00 US/Eastern,424.67,425.28,424.35,424.82,194082.0,424.724,1935
20260701 14:20:00 US/Eastern,424.86,425.51,424.61,425.32,179646.0,425.052,1602
20260701 14:25:00 US/Eastern,425.22,425.36,424.25,424.6,201410.0,424.744,1815
20260701 14:30:00 US/Eastern,424.6,424.96,424.05,424.82,253467.0,424.445,2173
20260701 14:35:00 US/Eastern,424.79,425.2,423.76,423.97,402935.0,424.378,3672
