date,open,high,low,close,volume,wap,barCount
20260202 09:30:00 US/Eastern,421.25,421.7,414.5,415.36,3047268.0,417.159,22475
20260202 09:35:00 US/Eastern,415.28,417.98,415.0,417.29,1686709.0,416.579,13821
20260202 09:40:00 US/Eastern,417.2,418.82,416.05,418.78,1379804.0,417.044,10456
20260202 09:45:00 US/Eastern,418.82,419.92,417.98,419.86,1360749.0,418.914,9735
20260202 09:50:00 US/Eastern,419.86,420.72,419.42,419.66,990177.0,420.113,7670
20260202 09:55:00 US/Eastern,419.69,419.8,417.25,417.3,982400.0,418.517,7047
20260202 10:00:00 US/Eastern,417.3,420.0,416.43,419.6,1150284.0,418.073,8897
20260202 10:05:00 US/Eastern,419.65,419.95,419.01,419.24,567234.0,419.48,4813
20260202 10:10:00 US/Eastern,419.25,419.31,417.85,418.86,592662.0,418.464,4897
20260202 10:15:00 US/Eastern,418.86,419.89,417.74,419.1,742592.0,418.872,5408
20260202 10:20:00 US/Eastern,419.12,420.0,418.85,419.83,533747.0,419.67,4311
20260202 10:25:00 US/Eastern,419.86,420.22,418.2,420.13,720178.0,419.372,5311
20260202 10:30:00 US/Eastern,420.15,420.21,418.82,419.56,623979.0,419.533,4837
20260202 10:35:00 US/Eastern,419.59,421.69,419.53,421.45,808045.0,420.968,5834
20260202 10:40:00 US/Eastern,421.45,422.28,421.39,421.78,694518.0,421.888,5008
20260202 10:45:00 US/Eastern,421.76,422.5,420.94,421.36,657191.0,421.668,4728
20260202 10:50:00 US/Eastern,421.31,422.36,421.1,421.78,502412.0,421.762,3824
20260202 10:55:00 US/Eastern,421.78,422.19,419.98,420.16,678092.0,420.735,6107
20260202 11:00:00 US/Eastern,420.19,420.19,419.23,419.37,558782.0,419.654,4810
20260202 11:05:00 US/Eastern,419.4,420.03,418.57,419.98,532263.0,419.382,4447
20260202 11:10:00 US/Eastern,419.99,420.13,419.65,420.06,301362.0,419.898,2612
20260202 11:15:00 US/Eastern,420.05,420.28,419.73,420.04,415744.0,420.045,3528
20260202 11:20:00 US/Eastern,420.01,420.26,419.6,420.02,372155.0,419.985,2978
20260202 11:25:00 US/Eastern,420.0,420.05,418.91,419.49,458928.0,419.38,3825
20260202 11:30:00 US/Eastern,419.47,419.87,418.67,419.6,435319.0,419.213,3462
20260202 11:35:00 US/Eastern,419.53,419.95,419.01,419.04,259937.0,419.463,2066
20260202 11:40:00 US/Eastern,419.04,419.58,418.53,419.02,354981.0,418.985,2867
20260202 11:45:00 US/Eastern,419.04,419.04,418.31,418.71,390900.0,418.623,3263
20260202 11:50:00 US/Eastern,418.73,420.01,418.65,419.98,447498.0,419.496,3296
20260202 11:55:00 US/Eastern,419.99,420.2,419.77,420.13,361047.0,419.995,2878
20260202 12:00:00 US/Eastern,420.1,420.47,419.87,419.9,418863.0,420.145,3361
20260202 12:05:00 US/Eastern,419.9,420.26,419.8,420.16,314214.0,420.004,2395
20260202 12:10:00 US/Eastern,420.16,420.96,419.88,420.87,334911.0,420.204,2963
20260202 12:15:00 US/Eastern,420.89,422.2,420.8,422.09,534656.0,421.441,3953
20260202 12:20:00 US/Eastern,422.11,423.25,421.75,422.81,715254.0,422.595,5185
20260202 12:25:00 US/Eastern,422.81,423.37,422.65,423.33,460998.0,423.041,3602
20260202 12:30:00 US/Eastern,423.29,423.55,422.66,423.3,436609.0,423.14,3126
