date,open,high,low,close,volume,wap,barCount
20260401 09:30:00 US/Eastern,378.69,379.14,375.11,376.14,1746247.0,376.764,11734
20260401 09:35:00 US/Eastern,376.16,377.26,375.34,377.22,1040178.0,376.302,8076
20260401 09:40:00 US/Eastern,377.22,377.34,374.5,375.45,1256818.0,375.96,9680
20260401 09:45:00 US/Eastern,375.45,376.13,374.08,374.65,967118.0,375.01,7664
20260401 09:50:00 US/Eastern,374.63,376.06,374.34,374.9,851733.0,375.197,6535
20260401 09:55:00 US/Eastern,374.87,375.86,374.41,375.1,701546.0,375.105,5112
20260401 10:00:00 US/Eastern,375.1,375.74,374.25,375.52,864705.0,375.025,6523
20260401 10:05:00 US/Eastern,375.56,376.6,374.38,376.03,900351.0,375.594,6982
20260401 10:10:00 US/Eastern,375.99,377.64,375.96,376.66,995121.0,376.82,8309
20260401 10:15:00 US/Eastern,376.62,377.39,376.47,376.99,691597.0,377.021,5416
20260401 10:20:00 US/Eastern,376.99,378.54,376.18,377.94,969425.0,377.598,7483
20260401 10:25:00 US/Eastern,377.91,378.57,377.27,378.51,655723.0,377.997,5167
20260401 10:30:00 US/Eastern,378.53,379.09,377.36,377.45,808133.0,378.359,6229
20260401 10:35:00 US/Eastern,377.44,379.98,376.95,379.25,910068.0,378.122,7027
20260401 10:40:00 US/Eastern,379.27,379.27,378.38,379.05,615563.0,378.775,5130
20260401 10:45:00 US/Eastern,379.05,379.29,377.81,379.19,547825.0,378.605,4311
20260401 10:50:00 US/Eastern,379.17,381.28,379.03,380.95,1083788.0,380.242,8709
20260401 10:55:00 US/Eastern,380.94,381.75,380.46,381.52,959831.0,381.086,8188
20260401 11:00:00 US/Eastern,381.55,382.19,381.28,381.42,881879.0,381.837,7638
20260401 11:05:00 US/Eastern,381.41,382.5,381.34,381.74,657193.0,381.909,5138
20260401 11:10:00 US/Eastern,381.73,381.84,381.1,381.66,515539.0,381.461,3809
20260401 11:15:00 US/Eastern,381.67,382.19,381.31,381.89,461062.0,381.776,3673
20260401 11:20:00 US/Eastern,381.92,382.17,381.37,381.63,470286.0,381.749,3613
20260401 11:25:00 US/Eastern,381.63,381.82,380.85,380.91,482662.0,381.375,3866
20260401 11:30:00 US/Eastern,380.92,381.21,380.43,380.88,575187.0,380.764,4186
20260401 11:35:00 US/Eastern,380.88,382.03,380.85,381.7,587462.0,381.548,4404
20260401 11:40:00 US/Eastern,381.69,382.1,381.11,381.9,378873.0,381.589,3328
20260401 11:45:00 US/Eastern,381.93,382.22,381.44,381.56,374040.0,381.786,3318
20260401 11:50:00 US/Eastern,381.56,382.48,381.47,382.13,464799.0,382.056,4140
20260401 11:55:00 US/Eastern,382.13,383.14,382.07,382.35,618904.0,382.726,5099
20260401 12:00:00 US/Eastern,382.34,382.6,381.85,382.41,475850.0,382.193,3747
20260401 12:05:00 US/Eastern,382.45,382.73,382.31,382.57,326508.0,382.507,2517
20260401 12:10:00 US/Eastern,382.56,382.64,381.72,381.87,372883.0,382.105,2898
20260401 12:15:00 US/Eastern,381.9,382.12,381.47,382.0,371283.0,381.777,2929
20260401 12:20:00 US/Eastern,381.98,382.26,381.83,381.92,295228.0,382.024,2474
20260401 12:25:00 US/Eastern,381.92,382.07,381.41,381.54,294688.0,381.696,2526
20260401 12:30:00 US/Eastern,381.57,381.78,381.08,381.32,365085.0,381.39,2724
20260401 12:35:00 US/Eastern,381.32,381.9,381.13,381.16,408964.0,381.44,3027
20260401 12:40:00 US/Eastern,381.16,381.52,381.04,381.22,321678.0,381.226,2352
20260401 12:45:00 US/Eastern,381.22,381.93,381.08,381.85,284416.0,381.516,2239
20260401 12:50:00 US/Eastern,381.88,382.18,381.83,382.04,287083.0,382.001,2142
20260401 12:55:00 US/Eastern,382.03,382.05,381.37,381.6,245365.0,381.622,1957
20260401 13:00:00 US/Eastern,381.58,382.24,381.46,382.08,236684.0,381.809,1857
20260401 13:05:00 US/Eastern,382.08,382.08,381.55,381.63,195779.0,381.863,1651
20260401 13:10:00 US/Eastern,381.63,381.85,381.22,381.44,246954.0,381.489,1940
20260401 13:15:00 US/Eastern,381.46,381.59,381.01,381.06,250322.0,381.282,1725
20260401 13:20:00 US/Eastern,381.09,381.18,380.64,380.9,298673.0,380.913,2282
20260401 13:25:00 US/Eastern,380.88,381.32,380.74,381.09,307281.0,380.983,2282
20260401 13:30:00 US/Eastern,381.07,381.72,380.71,380.82,362785.0,381.241,2583
20260401 13:35:00 US/Eastern,380.82,381.43,380.63,381.25,337750.0,381.003,2244
20260401 13:40:00 US/Eastern,381.24,381.37,380.74,380.96,257739.0,381.075,1905
20260401 13:45:00 US/Eastern,380.97,381.12,380.42,380.59,287801.0,380.766,2019
20260401 13:50:00 US/Eastern,380.6,380.84,380.26,380.62,298172.0,380.557,2190
20260401 13:55:00 US/Eastern,380.66,380.78,379.57,379.62,433437.0,380.071,3063
20260401 14:00:00 US/Eastern,379.65,379.81,378.55,379.04,651120.0,379.163,4373
20260401 14:05:00 US/Eastern,379.04,379.43,378.95,379.22,387213.0,379.212,2802
