date,open,high,low,close,volume,wap,barCount
20241001 09:30:00 US/Eastern,262.67,263.98,260.71,261.5,2187228.0,262.172,6866
20241001 09:35:00 US/Eastern,261.47,262.08,259.42,259.6,1537860.0,260.78,5884
20241001 09:40:00 US/Eastern,259.65,260.07,258.29,259.78,1390141.0,259.078,5435
20241001 09:45:00 US/Eastern,259.76,259.88,257.68,257.75,1316158.0,258.538,5113
20241001 09:50:00 US/Eastern,257.8,257.9,255.9,256.28,1742207.0,256.733,6544
20241001 09:55:00 US/Eastern,256.35,256.9,256.0,256.29,1541696.0,256.422,5533
20241001 10:00:00 US/Eastern,256.28,257.55,254.03,255.17,2120772.0,255.562,8218
20241001 10:05:00 US/Eastern,255.17,255.25,250.0,254.29,1257473.0,254.648,4967
20241001 10:10:00 US/Eastern,254.21,254.7,252.53,252.95,1865402.0,253.319,6789
20241001 10:15:00 US/Eastern,252.9,252.9,251.84,252.0,1314395.0,252.349,4509
20241001 10:20:00 US/Eastern,252.0,253.22,251.8,252.87,1199922.0,252.521,5040
20241001 10:25:00 US/Eastern,252.87,252.99,250.11,250.13,1606950.0,251.258,5789
20241001 10:30:00 US/Eastern,250.12,250.49,248.63,249.24,2298908.0,249.467,8117
20241001 10:35:00 US/Eastern,249.3,250.64,248.53,250.3,1344080.0,249.855,5143
20241001 10:40:00 US/Eastern,250.32,252.0,250.1,251.7,1408499.0,251.396,5539
20241001 10:45:00 US/Eastern,251.72,252.6,251.33,252.57,1075704.0,252.021,4124
20241001 10:50:00 US/Eastern,252.59,253.19,252.07,252.87,1037710.0,252.692,4051
20241001 10:55:00 US/Eastern,252.86,253.57,252.8,253.04,963340.0,253.204,3755
20241001 11:00:00 US/Eastern,253.07,253.49,252.66,252.85,664491.0,253.067,2745
20241001 11:05:00 US/Eastern,252.84,252.86,250.66,250.86,1300014.0,251.873,4710
20241001 11:10:00 US/Eastern,250.86,251.69,250.6,251.41,936299.0,251.054,3181
20241001 11:15:00 US/Eastern,251.42,251.53,250.38,250.66,653330.0,250.852,2661
20241001 11:20:00 US/Eastern,250.6,251.38,250.14,250.82,874747.0,250.767,3194
20241001 11:25:00 US/Eastern,250.83,252.35,250.64,252.26,806570.0,251.652,2898
20241001 11:30:00 US/Eastern,252.24,252.57,251.94,252.16,624631.0,252.263,2403
20241001 11:35:00 US/Eastern,252.14,252.75,251.8,252.51,608827.0,252.331,2343
20241001 11:40:00 US/Eastern,252.46,253.92,252.26,253.67,847210.0,253.251,3175
20241001 11:45:00 US/Eastern,253.65,253.85,252.79,253.33,550917.0,253.337,2187
20241001 11:50:00 US/Eastern,253.33,253.85,253.14,253.21,445997.0,253.594,1637
20241001 11:55:00 US/Eastern,253.22,253.5,252.5,252.53,566380.0,253.012,2112
20241001 12:00:00 US/Eastern,252.5,254.06,252.25,254.01,684190.0,253.17,2671
20241001 12:05:00 US/Eastern,254.0,254.5,253.98,254.31,565098.0,254.296,1974
20241001 12:10:00 US/Eastern,254.33,254.88,254.23,254.31,600167.0,254.513,2215
20241001 12:15:00 US/Eastern,254.34,255.08,254.31,254.4,567634.0,254.74,1985
20241001 12:20:00 US/Eastern,254.42,254.77,254.25,254.47,305498.0,254.519,1216
20241001 12:25:00 US/Eastern,254.46,255.14,254.23,255.05,413261.0,254.716,1554
20241001 12:30:00 US/Eastern,255.03,255.47,253.81,255.22,821024.0,254.767,3237
20241001 12:35:00 US/Eastern,255.22,255.84,253.98,254.15,732339.0,255.06,2794
20241001 12:40:00 US/Eastern,254.14,254.38,253.6,253.61,542748.0,254.054,2046
20241001 12:45:00 US/Eastern,253.7,253.92,253.05,253.61,562656.0,253.51,1980
20241001 12:50:00 US/Eastern,253.61,255.19,253.6,254.88,706318.0,254.352,2507
