date,open,high,low,close,volume,wap,barCount
20241202 09:30:00 US/Eastern,352.51,358.78,352.0,357.84,4171090.0,355.903,15794
20241202 09:35:00 US/Eastern,357.82,358.1,354.33,355.7,1836264.0,356.173,7936
20241202 09:40:00 US/Eastern,355.64,356.94,353.4,354.38,1815346.0,355.521,7560
20241202 09:45:00 US/Eastern,354.38,356.66,354.31,355.72,1174615.0,355.569,4622
20241202 09:50:00 US/Eastern,355.8,356.69,354.33,356.08,1039413.0,355.445,3976
20241202 09:55:00 US/Eastern,356.01,356.75,353.7,354.74,1095058.0,355.155,4413
20241202 10:00:00 US/Eastern,354.89,355.14,352.6,353.6,1157466.0,353.721,4577
20241202 10:05:00 US/Eastern,353.63,354.61,353.03,354.19,927378.0,353.868,3569
20241202 10:10:00 US/Eastern,354.07,354.7,352.27,352.6,894725.0,353.279,3626
20241202 10:15:00 US/Eastern,352.63,354.39,352.32,354.14,968685.0,353.483,3677
20241202 10:20:00 US/Eastern,354.17,357.13,353.85,357.06,1494145.0,355.844,5657
20241202 10:25:00 US/Eastern,357.14,357.33,355.82,356.57,875693.0,356.629,3555
20241202 10:30:00 US/Eastern,356.62,357.38,355.63,356.0,962192.0,356.507,3340
20241202 10:35:00 US/Eastern,355.95,356.5,355.11,355.65,686244.0,355.719,2530
20241202 10:40:00 US/Eastern,355.61,356.88,355.4,355.71,607118.0,356.299,2397
20241202 10:45:00 US/Eastern,355.79,355.79,353.55,353.98,776059.0,354.615,2899
20241202 10:50:00 US/Eastern,353.98,354.57,352.63,353.99,1222735.0,353.442,4938
20241202 10:55:00 US/Eastern,353.95,354.3,353.29,354.2,563749.0,353.81,2300
20241202 11:00:00 US/Eastern,354.2,354.48,352.62,353.09,600254.0,353.584,2363
20241202 11:05:00 US/Eastern,353.1,354.05,352.02,352.91,711677.0,353.009,2631
20241202 11:10:00 US/Eastern,352.91,353.22,351.15,352.43,769206.0,352.351,3114
20241202 11:15:00 US/Eastern,352.4,353.8,351.66,353.37,616555.0,352.811,2580
20241202 11:20:00 US/Eastern,353.29,353.89,352.65,353.11,478151.0,353.338,1970
20241202 11:25:00 US/Eastern,353.11,353.54,352.19,352.26,545630.0,352.775,2030
20241202 11:30:00 US/Eastern,352.38,353.53,352.22,352.59,454781.0,352.842,1895
20241202 11:35:00 US/Eastern,352.6,354.8,352.51,354.37,655098.0,353.986,2507
20241202 11:40:00 US/Eastern,354.31,354.55,353.51,353.64,394475.0,354.039,1613
20241202 11:45:00 US/Eastern,353.6,354.58,353.01,354.5,514189.0,353.696,1881
20241202 11:50:00 US/Eastern,354.48,355.13,354.0,354.24,568623.0,354.574,2463
20241202 11:55:00 US/Eastern,354.22,355.18,354.15,354.92,375894.0,354.682,1656
20241202 12:00:00 US/Eastern,354.95,355.62,354.74,355.37,483850.0,355.282,2084
20241202 12:05:00 US/Eastern,355.38,355.84,354.89,355.56,424300.0,355.342,2029
20241202 12:10:00 US/Eastern,355.59,356.35,355.51,356.31,574033.0,355.991,2440
20241202 12:15:00 US/Eastern,356.34,356.39,355.66,356.05,367704.0,355.962,1749
20241202 12:20:00 US/Eastern,356.02,357.13,355.99,357.0,651641.0,356.714,2695
20241202 12:25:00 US/Eastern,356.97,357.09,356.01,356.04,607030.0,356.485,2839
20241202 12:30:00 US/Eastern,356.07,357.55,355.8,357.11,787756.0,356.78,3182
20241202 12:35:00 US/Eastern,357.15,357.98,357.02,357.2,733470.0,357.619,2982
20241202 12:40:00 US/Eastern,357.22,358.48,356.68,358.43,619567.0,357.579,2579
20241202 12:45:00 US/Eastern,358.43,358.57,357.66,358.01,491474.0,358.092,2176
20241202 12:50:00 US/Eastern,358.02,358.73,358.01,358.57,604195.0,358.504,2346
20241202 12:55:00 US/Eastern,358.61,359.44,358.12,358.29,1237814.0,358.857,4209
20241202 13:00:00 US/Eastern,358.4,358.76,357.1,357.9,743219.0,357.779,2956
20241202 13:05:00 US/Eastern,357.9,358.05,356.92,357.06,417307.0,357.457,1708
20241202 13:10:00 US/Eastern,357.03,357.5,356.66,356.96,346270.0,357.117,1408
20241202 13:15:00 US/Eastern,356.98,357.5,356.45,357.0,355781.0,356.867,1543
20241202 13:20:00 US/Eastern,357.0,357.83,356.82,357.24,369020.0,357.378,1464
20241202 13:25:00 US/Eastern,357.23,357.23,355.87,356.04,405469.0,356.426,1465
20241202 13:30:00 US/Eastern,356.0,356.28,355.47,356.05,367567.0,355.87,1572
20241202 13:35:00 US/Eastern,356.01,356.54,355.51,356.53,378330.0,355.996,1430
20241202 13:40:00 US/Eastern,356.54,357.05,355.87,355.92,356481.0,356.57,1549
20241202 13:45:00 US/Eastern,355.89,356.36,355.44,355.63,393537.0,355.895,1574
20241202 13:50:00 US/Eastern,355.68,356.62,355.35,356.49,356028.0,355.899,1515
20241202 13:55:00 US/Eastern,356.41,357.48,356.32,357.0,487210.0,357.018,1863
20241202 14:00:00 US/Eastern,357.01,357.06,356.2,356.65,335639.0,356.596,1260
20241202 14:05:00 US/Eastern,356.65,357.35,356.4,356.82,380213.0,356.963,1398
20241202 14:10:00 US/Eastern,356.81,356.96,355.8,356.28,377401.0,356.29,1368
20241202 14:15:00 US/Eastern,356.34,356.81,355.62,356.26,359142.0,356.313,1154
20241202 14:20:00 US/Eastern,356.3,356.45,355.82,356.41,177249.0,356.129,705
20241202 14:25:00 US/Eastern,356.41,356.5,355.85,355.92,159210.0,356.067,770
20241202 14:30:00 US/Eastern,355.92,356.69,355.84,356.36,265473.0,356.322,1077
20241202 14:35:00 US/Eastern,356.37,356.69,355.87,356.0,214687.0,356.194,807
20241202 14:40:00 US/Eastern,355.96,356.65,355.94,356.38,192984.0,356.372,771
20241202 14:45:00 US/Eastern,356.35,356.5,356.07,356.14,176780.0,356.278,688
20241202 14:50:00 US/Eastern,356.14,356.57,355.94,356.56,176561.0,356.263,746
20241202 14:55:00 US/Eastern,356.56,357.72,356.35,357.53,541420.0,357.257,2139
20241202 15:00:00 US/Eastern,357.54,357.8,356.87,357.02,474693.0,357.389,1904
20241202 15:05:00 US/Eastern,356.97,357.58,356.87,357.16,301307.0,357.205,1259
20241202 15:10:00 US/Eastern,357.12,358.22,357.02,358.03,373437.0,357.739,1546
20241202 15:15:00 US/Eastern,358.04,358.64,357.51,358.42,547068.0,358.089,2157
20241202 15:20:00 US/Eastern,358.45,359.0,358.2,358.98,446421.0,358.575,1886
20241202 15:25:00 US/Eastern,358.99,359.3,358.6,359.15,543065.0,358.999,2132
20241202 15:30:00 US/Eastern,359.18,360.0,359.0,359.94,1087380.0,359.771,3957
20241202 15:35:00 US/Eastern,359.95,359.99,358.68,359.07,751599.0,359.276,2864
20241202 15:40:00 US/Eastern,359.08,359.14,357.6,357.86,673465.0,358.305,2805
20241202 15:45:00 US/Eastern,357.9,357.91,356.9,357.36,699197.0,357.33,3082
20241202 15:50:00 US/Eastern,357.25,357.65,356.2,356.67,801083.0,356.955,3552
20241202 15:55:00 US/Eastern,356.75,357.4,356.63,357.08,1024912.0,357.01,5607
20241203 09:30:00 US/Eastern,351.79,353.0,349.5,352.0,2262612.0,351.727,8538
20241203 09:35:00 US/Eastern,352.0,354.5,351.61,353.21,1435222.0,353.264,6294
20241203 09:40:00 US/Eastern,353.14,355.2,352.48,354.67,1288304.0,353.97,5667
20241203 09:45:00 US/Eastern,354.56,355.69,353.56,354.09,916618.0,354.618,4106
20241203 09:50:00 US/Eastern,354.09,354.3,352.77,352.77,729604.0,353.415,3357
20241203 09:55:00 US/Eastern,352.85,353.16,352.0,352.34,727168.0,352.437,2933
20241203 10:00:00 US/Eastern,352.42,354.22,352.25,352.75,885663.0,353.332,3779
20241203 10:05:00 US/Eastern,352.61,353.68,352.46,353.48,559293.0,353.002,2482
20241203 10:10:00 US/Eastern,353.48,354.35,352.59,353.68,731508.0,353.577,2792
20241203 10:15:00 US/Eastern,353.7,354.6,352.46,352.76,726427.0,353.686,2955
20241203 10:20:00 US/Eastern,352.76,352.81,350.7,351.26,1257428.0,351.572,5024
20241203 10:25:00 US/Eastern,351.31,351.9,350.38,350.41,839751.0,351.148,3494
20241203 10:30:00 US/Eastern,350.48,352.24,350.4,351.09,708188.0,351.416,3088
20241203 10:35:00 US/Eastern,351.05,352.23,351.04,351.81,462913.0,351.77,1793
20241203 10:40:00 US/Eastern,351.75,351.82,350.0,350.26,754045.0,350.455,3027
20241203 10:45:00 US/Eastern,350.3,350.86,348.75,349.65,1228445.0,349.657,4279
20241203 10:50:00 US/Eastern,349.71,349.75,348.2,348.53,711352.0,349.028,3012
20241203 10:55:00 US/Eastern,348.53,349.82,348.21,349.72,658470.0,349.177,2861
20241203 11:00:00 US/Eastern,349.62,351.15,349.58,350.69,741516.0,350.616,3032
20241203 11:05:00 US/Eastern,350.65,351.59,350.62,351.27,518426.0,351.164,1942
20241203 11:10:00 US/Eastern,351.32,351.9,351.2,351.56,432850.0,351.506,1660
20241203 11:15:00 US/Eastern,351.5,352.6,351.34,352.26,635842.0,352.056,2524
20241203 11:20:00 US/Eastern,352.27,352.35,351.5,352.14,424935.0,351.957,1809
20241203 11:25:00 US/Eastern,352.21,352.67,351.8,352.14,455943.0,352.315,1907
20241203 11:30:00 US/Eastern,352.08,352.28,351.25,351.4,459364.0,351.662,1896
20241203 11:35:00 US/Eastern,351.38,352.38,351.15,351.5,410028.0,351.752,1592
