date,open,high,low,close,volume,wap,barCount
20250501 09:30:00 US/Eastern,280.01,286.5,279.92,285.9,3140935.0,283.694,12298
20250501 09:35:00 US/Eastern,285.96,287.22,283.75,284.39,1983605.0,285.672,8887
20250501 09:40:00 US/Eastern,284.39,285.32,283.5,284.94,1608207.0,284.513,6874
20250501 09:45:00 US/Eastern,285.0,286.18,284.7,285.11,1366732.0,285.445,5699
20250501 09:50:00 US/Eastern,285.17,285.81,284.42,284.87,1044396.0,285.189,4463
20250501 09:55:00 US/Eastern,284.9,285.09,281.55,281.89,1772734.0,283.694,7492
20250501 10:00:00 US/Eastern,281.98,283.97,281.31,282.04,1569390.0,282.45,7053
20250501 10:05:00 US/Eastern,282.05,283.49,280.79,281.13,1433893.0,282.067,5995
20250501 10:10:00 US/Eastern,281.12,282.56,280.99,282.08,928476.0,281.798,4303
20250501 10:15:00 US/Eastern,282.07,283.01,281.76,282.63,861704.0,282.368,3496
20250501 10:20:00 US/Eastern,282.7,283.59,282.43,283.5,867517.0,283.061,3868
20250501 10:25:00 US/Eastern,283.54,286.5,283.21,286.22,1738842.0,284.981,6975
20250501 10:30:00 US/Eastern,286.27,288.79,285.96,288.63,2677045.0,287.545,10870
20250501 10:35:00 US/Eastern,288.61,288.93,287.43,288.05,1494322.0,288.229,6319
20250501 10:40:00 US/Eastern,288.2,289.31,287.75,288.0,1407254.0,288.566,6222
20250501 10:45:00 US/Eastern,288.08,288.62,287.39,288.57,955495.0,288.091,4282
20250501 10:50:00 US/Eastern,288.57,289.75,288.0,289.26,1189981.0,289.109,5114
20250501 10:55:00 US/Eastern,289.3,289.79,288.47,289.1,1036247.0,289.138,4581
20250501 11:00:00 US/Eastern,289.1,289.19,287.73,288.21,920851.0,288.283,3811
20250501 11:05:00 US/Eastern,288.18,290.0,287.95,289.72,1244030.0,289.468,4786
20250501 11:10:00 US/Eastern,289.7,290.7,289.51,290.31,1141575.0,290.253,4596
20250501 11:15:00 US/Eastern,290.34,290.87,288.75,288.84,1111921.0,289.776,4700
20250501 11:20:00 US/Eastern,288.84,288.98,286.62,287.01,1286584.0,287.813,5088
20250501 11:25:00 US/Eastern,286.94,287.56,286.45,287.25,1032040.0,287.061,4027
20250501 11:30:00 US/Eastern,287.26,287.44,286.25,286.29,933898.0,286.754,3745
20250501 11:35:00 US/Eastern,286.3,287.22,286.11,286.78,761682.0,286.769,2730
20250501 11:40:00 US/Eastern,286.78,287.3,285.92,286.15,846010.0,286.548,3040
20250501 11:45:00 US/Eastern,286.2,286.81,285.72,285.85,742061.0,286.244,2947
20250501 11:50:00 US/Eastern,285.87,286.1,284.66,284.79,1068668.0,285.3,4037
20250501 11:55:00 US/Eastern,284.81,284.87,283.63,284.34,1185509.0,284.102,4479
20250501 12:00:00 US/Eastern,284.4,284.98,283.82,284.17,944029.0,284.433,3677
20250501 12:05:00 US/Eastern,284.25,284.78,284.08,284.72,574208.0,284.501,2197
20250501 12:10:00 US/Eastern,284.72,284.84,283.82,284.04,814107.0,284.283,2880
20250501 12:15:00 US/Eastern,284.02,284.12,282.5,282.86,1222064.0,283.093,4633
20250501 12:20:00 US/Eastern,282.86,283.3,282.3,282.51,814397.0,282.778,2986
20250501 12:25:00 US/Eastern,282.57,284.24,282.5,284.13,932448.0,283.758,3607
20250501 12:30:00 US/Eastern,284.13,284.32,283.52,284.09,643540.0,283.965,2392
20250501 12:35:00 US/Eastern,284.04,284.33,283.56,284.07,502496.0,284.018,2046
20250501 12:40:00 US/Eastern,284.08,284.34,283.23,283.56,688117.0,283.868,2789
