date,open,high,low,close,volume,wap,barCount
20260501 09:30:00 US/Eastern,382.39,387.4,381.73,384.31,2038041.0,385.045,14854
20260501 09:35:00 US/Eastern,384.38,384.6,378.8,382.48,1399898.0,382.036,11181
20260501 09:40:00 US/Eastern,382.54,382.78,380.6,381.37,766738.0,381.749,6538
20260501 09:45:00 US/Eastern,381.39,382.3,379.62,382.08,977437.0,380.97,7911
20260501 09:50:00 US/Eastern,382.08,383.0,380.95,382.37,793364.0,382.126,5917
20260501 09:55:00 US/Eastern,382.41,383.83,382.14,382.94,750471.0,383.134,5752
20260501 10:00:00 US/Eastern,382.92,384.35,382.5,383.05,776498.0,383.383,5877
20260501 10:05:00 US/Eastern,383.05,385.95,382.57,385.35,950609.0,384.296,7464
20260501 10:10:00 US/Eastern,385.36,386.98,384.7,386.3,1023964.0,385.786,8147
20260501 10:15:00 US/Eastern,386.29,386.41,384.7,385.44,694392.0,385.476,5788
20260501 10:20:00 US/Eastern,385.42,386.35,384.29,385.85,628229.0,385.493,4807
20260501 10:25:00 US/Eastern,385.84,388.42,385.58,388.1,1164048.0,387.199,8750
20260501 10:30:00 US/Eastern,388.1,388.67,386.9,387.5,953130.0,387.822,7752
20260501 10:35:00 US/Eastern,387.52,388.0,385.02,386.79,1014398.0,386.402,7779
20260501 10:40:00 US/Eastern,386.79,389.57,386.66,388.36,1154112.0,388.342,8283
20260501 10:45:00 US/Eastern,388.35,390.16,387.72,390.03,927838.0,389.229,7684
20260501 10:50:00 US/Eastern,390.03,390.03,388.6,388.97,697961.0,389.18,5568
20260501 10:55:00 US/Eastern,388.95,391.75,388.81,391.24,1063285.0,390.58,7985
20260501 11:00:00 US/Eastern,391.21,391.49,389.93,391.04,861563.0,390.79,6737
20260501 11:05:00 US/Eastern,390.96,392.45,390.58,392.4,1025604.0,391.632,7616
20260501 11:10:00 US/Eastern,392.4,393.15,391.66,392.15,933109.0,392.391,7392
20260501 11:15:00 US/Eastern,392.16,392.57,391.19,391.35,642427.0,391.788,4893
20260501 11:20:00 US/Eastern,391.36,392.4,391.15,391.75,510559.0,391.766,4318
20260501 11:25:00 US/Eastern,391.75,392.69,391.45,392.66,472987.0,392.135,4045
20260501 11:30:00 US/Eastern,392.7,394.15,392.34,393.53,944196.0,393.323,7433
20260501 11:35:00 US/Eastern,393.56,395.19,393.18,394.68,947494.0,394.491,7619
20260501 11:40:00 US/Eastern,394.65,395.69,394.2,394.63,912674.0,394.997,7066
20260501 11:45:00 US/Eastern,394.72,396.5,394.25,396.11,1091935.0,395.569,8478
